Fecha de Atencion,De 0 a antes de 1,De 01 a 05 ,De 06 a 09,De 10 a 14,De 15 a 18 ,De 19 a 26,De 27 a 44,De 45 a 59,De 60 y mas,No Definido,Total general
9/9/15,5.35,33.067,19.089,19.855,18.005,40.185,77.407,63.106,64.166,,339.62
9/10/15,5.324,37.085,21.627,22.302,20.405,45.814,87.213,71.077,71.592,,381.703
9/11/15,4.464,37.457,21.657,22.059,20.786,47.975,93.14,74.113,73.105,,394.085
9/12/15,2.153,21.381,13.762,14.613,12.348,26.624,51.76,39.025,37.179,,218.471
9/13/15,922,6.717,3.447,4.18,3.719,7.442,11.714,7.699,8.707,,54.446
9/14/15,5.522,32.732,18.694,19.793,17.724,39.953,75.903,62.136,63.068,,334.912
9/15/15,5.598,34.516,19.486,20.025,18.619,40.58,77.489,62.8,64.299,,342.806
9/16/15,5.162,33.719,19.342,20.888,18.475,40.028,76.252,61.467,61.548,,336.307
9/17/15,5.3,31.837,18.54,19.838,17.892,39.714,75.525,60.801,60.558,,329.406
9/18/15,4.844,29.722,17.525,18.55,17.038,37.71,71.074,55.95,56.661,,308.544
9/19/15,2.14,14.257,9.08,10.282,8.571,17.712,33.873,24.211,22.504,,142.308
9/20/15,805,6.32,3.459,4.305,3.745,7.595,11.897,7.673,9.054,,54.766
9/21/15,5.51,32.256,18.336,19.117,17.661,39.878,75.924,61.117,61.76,,330.924
9/22/15,5.514,33.887,19.356,19.875,18.113,40.694,76.628,62.088,61.973,,337.539
9/23/15,5.226,33.187,18.588,19.98,17.741,39.898,76.31,61.231,62.266,,333.788
9/24/15,5.214,30.876,17.95,18.907,17.472,38.469,74.092,59.665,60.694,,322.819
9/25/15,4.52,28.574,16.358,17.694,16.798,36.704,68.983,55.133,55.038,,299.274
9/26/15,2.024,14.048,8.822,9.988,8.449,17.408,33.158,23.53,22.221,,139.383
9/27/15,771,6.858,3.495,4.105,3.643,7.482,11.7,7.705,8.87,,54.538
9/28/15,5.501,32.81,18.286,19.278,17.472,38.77,73.986,60.602,61.664,1,327.737
9/29/15,5.114,33.789,18.699,19.704,18.253,39.631,75.552,61.895,61.59,,333.567
9/30/15,5.015,32.603,18.49,18.68,17.82,39.077,75.072,61.13,62.872,1,330.072
10/1/15,1.221,23.166,11.902,12.596,12.041,26.222,47.701,42.442,47.336,,224.363
10/2/15,1.069,21.291,11.625,12.542,11.812,25.335,45.007,39.281,42.035,,209.805
10/3/15,656,11.56,6.384,7.389,6.442,13.365,23.337,17.873,17.859,,104.765
10/4/15,286,7.005,3.577,4.335,3.648,7.544,11.648,8.032,8.814,,54.83
10/5/15,1.373,23.719,13.218,14.261,13.217,27.109,48.852,42.446,46.421,,230.338
10/6/15,1.307,26.421,14.413,15.436,13.968,29.689,52.615,45.67,51.14,,250.38
10/7/15,1.26,26.012,15.578,16.475,14.749,29.537,52.649,45.599,48.677,,250.195
10/8/15,1.217,28.016,15.941,17.16,15.472,30.277,54.664,46.904,51.478,,260.761
10/9/15,1.122,27.889,15.875,16.92,15.63,31.55,55.732,47.14,50.817,,262.261
10/10/15,601,11.485,6.751,7.559,6.619,14.078,24.482,19.236,20.019,,110.701
10/11/15,248,16.848,9.609,9.914,8.416,19.651,36.955,29.085,30.639,,161.282
10/12/15,285,14.286,8.491,9.077,7.813,16.886,31.328,23.876,25.444,,137.408
10/13/15,1.328,27.316,14.514,15.204,13.827,30.539,55.255,47.98,53.346,,259.016
10/14/15,1.199,26.476,14.486,15.54,13.792,30.458,54.314,47.617,52.596,,256.19
